doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-brand-warranty-coverage,data/ecommerce/shopee-brand-warranty-coverage.md,Chinh sach bao hanh chinh hang Shopee Mall,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
shopee-prohibited-items-policy,data/ecommerce/shopee-prohibited-items-policy.md,Chinh sach hang hoa cam va han che,https://help.shopee.vn/portal/4/article/77246,2026-09-20,not-stated,public-source
shopee-return-refund-rights-buyer,data/ecommerce/shopee-return-refund-rights-buyer.md,Chinh sach tra hang va bao ve nguoi mua,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-seller-dispute-and-penalty,data/ecommerce/shopee-seller-dispute-and-penalty.md,Quy dinh ve tranh chap va xu phat Shop,https://help.shopee.vn/portal/4/article/77265,2026-09-20,not-stated,public-source
shopee-seller-return-warranty-fulfillment,data/ecommerce/shopee-seller-return-warranty-fulfillment.md,Nghia vu tiep nhan va xu ly bao hanh cua nguoi ban,https://help.shopee.vn/portal/4/article/79314,2026-09-20,not-stated,public-source
shopee-terms-service-warranty-general,data/ecommerce/shopee-terms-service-warranty-general.md,Dieu khoan dich vu va quy dinh chung,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-warranty-electronic-service,data/ecommerce/shopee-warranty-electronic-service.md,Quy dinh bao hanh dien tu va sua chua,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
