doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hsu-2026-2027-dkhp-hocphi,data/quy-dinh-hoc-phi-dang-ky-hoc-phan/hsu-2026-2027-dkhp-hocphi.md,Thông báo đăng ký học phần và đóng học phí học kỳ 1 năm học 2026-2027,https://www.hoasen.edu.vn/online/thong-bao-v-v-dang-ky-hoc-phan-va-dong-hoc-phi-chuong-trinh-dao-tao-truc-tuyen-tu-xa-hoc-ky-1-_-nam-hoc-2026-2027-ma-hoc-ky-2671/,2026-09-20,2026-2027,public-source
hsu-so-tay-dang-ky-hoc-phan,data/quy-dinh-hoc-phi-dang-ky-hoc-phan/hsu-so-tay-dang-ky-hoc-phan.md,Đăng ký học phần - Sổ tay sinh viên,https://www.hoasen.edu.vn/so-tay-sinh-vien/dang-ky-mon-hoc/,2026-09-20,current,public-source
hsu-thong-bao-dang-ky-hoc-phan,data/quy-dinh-hoc-phi-dang-ky-hoc-phan/hsu-thong-bao-dang-ky-hoc-phan.md,Thông báo đăng ký học phần,https://www.hoasen.edu.vn/dtdh/thong-bao/thong-bao-dang-ky-hoc-phan/,2026-09-20,current,public-source
